================================================================================
DADOS REAIS — FinancialControlDB (SQL Server, site4now) — Junho e Julho de 2026
Fonte: sqlcmd -S SQL5053.site4now.net,1433 -d DB_A453C8_FinancialControl
Extraído em: 2026-07-29T09:52:57Z
================================================================================

--- CONTAGENS ---
[Transaction]+TransactionItem em jun/jul 2026: 0 linhas (tabela legada; MAX(Date)=2025-12-01 — sem dados de 2026, app real migrou para o Postgres do mecontrola antes desse período)
Bill+BillItem em jun/jul 2026: 10 linhas
Invoice+InvoiceItem em jun/jul 2026: 136 linhas

--- Bill + BillItem (jun/jul 2026) ---
2026-06-01 00:00:00.0000000|1724.39|1035.00|690.00|Condominio [Casa]|660.07
2026-06-01 00:00:00.0000000|1724.39|1035.00|690.00|Energia [Casa]|317.46
2026-06-01 00:00:00.0000000|1724.39|1035.00|690.00|Faxina [Casa]|400.00
2026-06-01 00:00:00.0000000|1724.39|1035.00|690.00|Internet [Celular]|225.62
2026-06-01 00:00:00.0000000|1724.39|1035.00|690.00|Internet [Central Fiber]|121.24
2026-07-01 00:00:00.0000000|1724.39|1035.00|690.00|Condominio [Casa]|660.07
2026-07-01 00:00:00.0000000|1724.39|1035.00|690.00|Energia [Casa]|317.46
2026-07-01 00:00:00.0000000|1724.39|1035.00|690.00|Faxina [Casa]|400.00
2026-07-01 00:00:00.0000000|1724.39|1035.00|690.00|Internet [Celular]|225.62
2026-07-01 00:00:00.0000000|1724.39|1035.00|690.00|Internet [Central Fiber]|121.24


--- Invoice + InvoiceItem (jun/jul 2026, ordenado por PurchaseDate) ---
XP Visa|2026-06-01 00:00:00.0000000|Netflix|44.9|1|Streamings
XP Visa|2026-06-01 00:00:00.0000000|Open.AI|99.9|1|Serviços
XP Visa|2026-06-01 00:00:00.0000000|Busterfit|254.83|1|Academia
XP Visa|2026-06-03 00:00:00.0000000|Drogaria São Luis|98.9|1|Saúde
XP Visa|2026-06-03 00:00:00.0000000|Zona Azul [Barueri]|10|1|Transporte
XP Visa|2026-06-03 00:00:00.0000000|Sem Parar|215.75|1|Transporte
XP Visa|2026-06-04 00:00:00.0000000|Amazon [Prime Video]|39.41|1|Streamings
XP Visa|2026-06-05 00:00:00.0000000|Compras do mês [Atacadão]|1002.29|1|Supermercado
XP Visa|2026-06-07 00:00:00.0000000|Itens da casa [Banheiro]|119.99|1|Casa
XP Visa|2026-06-08 00:00:00.0000000|Testo Black|108.04|1|Saúde
XP Visa|2026-06-09 00:00:00.0000000|Moonshot [IA]|102.34|1|Serviços
XP Visa|2026-06-09 00:00:00.0000000|Microsoft [Github]|11.63|1|Serviços
XP Visa|2026-06-09 00:00:00.0000000|Moonshot [IA]|107.8|1|Serviços
XP Visa|2026-06-10 00:00:00.0000000|Ebanx [PSN]|619.9|1|Lazer
XP Visa|2026-06-10 00:00:00.0000000|Nasoar|133.54|1|Saúde
XP Visa|2026-06-10 00:00:00.0000000|Itens da Casa|24.8|1|Casa
XP Visa|2026-06-11 00:00:00.0000000|Whey|194.9|1|Suplementos
XP Visa|2026-06-13 00:00:00.0000000|Abastecimento [Tracker]|293.15|1|Abastecimento
XP Visa|2026-06-13 00:00:00.0000000|hevy.com|12.9|1|Serviços
XP Visa|2026-06-14 00:00:00.0000000|São Vicente|105.71|1|Supermercado
XP Visa|2026-06-14 00:00:00.0000000|Apple|5.9|1|Serviços
XP Visa|2026-06-14 00:00:00.0000000|Abastecimento [Tracker]|172.33|1|Abastecimento
XP Visa|2026-06-15 00:00:00.0000000|Figurinha da Copa|49|1|Outros
XP Visa|2026-06-15 00:00:00.0000000|Energético|29.3|1|Restaurante
XP Visa|2026-06-16 00:00:00.0000000|Porto Mercadinho|49.9|1|Supermercado
